adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lcCNS7vyofFpJV7fl92ipIdNmGi.jpg,"[28, 878, 12]",399579,en,Alita: Battle Angel,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",136.191,/xRWht48C2V8XNfzvPehyClOvDni.jpg,2019-01-31,Alita: Battle Angel,False,7.239,9026
False,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,"[12, 878, 28]",299534,en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",103.343,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,2019-04-24,Avengers: Endgame,False,8.251,25420
False,/s9I2LmQMYCanl6DvC3X1AOHs2r8.jpg,"[28, 53, 80, 12]",399361,en,Triple Frontier,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",85.092,/aBw8zYuAljVM1FeK5bZKITPH8ZD.jpg,2019-03-06,Triple Frontier,False,6.313,3139
False,/34jW8LvjRplM8Pv06cBFDpLlenR.jpg,"[28, 12, 878]",429617,en,Spider-Man: Far From Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",74.051,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,2019-06-28,Spider-Man: Far From Home,False,7.426,15500
False,/hpgda6P9GutvdkDX5MUJ92QG9aj.jpg,"[28, 12, 35]",384018,en,Fast & Furious Presents: Hobbs & Shaw,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",72.465,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,2019-08-01,Fast & Furious Presents: Hobbs & Shaw,False,6.861,7116
False,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,"[28, 53, 80]",458156,en,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",68.878,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,2019-05-15,John Wick: Chapter 3 - Parabellum,False,7.447,10488
False,/spYx9XQFODuqEVoPpvaJI1ksAVt.jpg,"[28, 53, 18]",522938,en,Rambo: Last Blood,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",63.541,/kTQ3J8oTTKofAVLYnds2cHUz9KO.jpg,2019-09-19,Rambo: Last Blood,False,6.542,3824
False,/fI6X3Hd8KvtAuOKVdmxckdNzrx.jpg,"[80, 28, 53]",581528,ko,악인전,"After barely surviving a violent attack by an elusive serial killer, crime boss Jang Dong-su finds himself forming an unlikely partnership with local detective Jung Tae-seok to catch the sadistic killer simply known as K.",61.248,/oHlM4abRm6BzrRcz9Nup1uidw9H.jpg,2019-05-15,"The Gangster, the Cop, the Devil",False,7.8,1117
False,/a6cDxdwaQIFjSkXf7uskg78ZyTq.jpg,"[878, 28, 12]",290859,en,Terminator: Dark Fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",55.668,/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg,2019-10-23,Terminator: Dark Fate,False,6.444,5022
False,/3pMU7OGlcksMb7YkMthj5A1Y08B.jpg,"[80, 28, 18]",535292,en,21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",55.037,/kDlmrGZROewneCoSwPjKx6Qfown.jpg,2019-10-24,21 Bridges,False,6.778,1917
False,/S3EIcOUQYxgd3QzjOo2rZJ2MN8.jpg,"[28, 18, 10752]",554600,hi,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",54.604,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,2019-01-11,Uri: The Surgical Strike,False,7.067,420
False,/8NEvnVKeGMLEXG45MMNqxJLcM4y.jpg,"[16, 28, 14, 53]",820232,ja,鬼滅の刃 兄妹の絆,"A recap of Kimetsu no Yaiba episodes 1–5, with new footage and special end credits. Tanjiro Kamado returns home to find his family slaughtered and the lone survivor, his sister Nezuko, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again.",53.803,/vJUDoYNNKvBqbEPUskgvzPXGEFz.jpg,2019-03-29,Demon Slayer: Kimetsu no Yaiba – Sibling's Bond,False,7.903,202
False,/skvI4rYFrKXS73BJxWGH54Omlvv.jpg,"[10751, 14, 12, 28]",420809,en,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",53.065,/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,2019-10-16,Maleficent: Mistress of Evil,False,7.308,6036
False,/hJknEMqx4naA1GjZfalchpslzOc.jpg,"[14, 27, 28, 12]",456740,en,Hellboy,"Hellboy comes to England, where he must defeat Nimue, Merlin's consort and the Blood Queen. But their battle will bring about the end of the world, a fate he desperately tries to turn away.",52.676,/bk8LyaMqUtaQ9hUShuvFznQYQKR.jpg,2019-04-10,Hellboy,False,5.569,3377
False,/eevJuYAitUe6VwFN29aFwzeyeTr.jpg,"[28, 16, 80, 9648]",537056,en,Batman: Hush,"A mysterious new villain known only as Hush uses a gallery of villains to destroy Batman's crime-fighting career as well as Bruce Wayne's personal life, which has been further complicated by a relationship with Selina Kyle/Catwoman.",51.656,/eiVQORVyVuNNZHPAELuWtlXoQsD.jpg,2019-07-19,Batman: Hush,False,7.179,857
