adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/4HWAQu28e2yaWrtupFPGFkdNU7V.jpg,"[35, 80, 9648]",546554,en,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",198.282,/pThyQovXQrw2m0s9x82twj48Jq4.jpg,2019-11-27,Knives Out,False,7.8,12213
False,/hpgda6P9GutvdkDX5MUJ92QG9aj.jpg,"[28, 12, 35]",384018,en,Fast & Furious Presents: Hobbs & Shaw,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",72.465,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,2019-08-01,Fast & Furious Presents: Hobbs & Shaw,False,6.861,7116
False,/8eihUxjQsJ7WvGySkVMC0EwbPAD.jpg,"[35, 53, 18]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",71.086,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.507,18073
False,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,"[10751, 16, 12, 35, 14]",330457,en,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",63.683,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,2019-11-20,Frozen II,False,7.258,9614
False,/jTab4cf4X1dJJVS4F8UOGuesvPd.jpg,"[18, 35, 80]",540901,en,Hustlers,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,60.585,/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg,2019-09-12,Hustlers,False,6.479,2895
False,/eHz61dRrYZB16glXDttV0CnJf6j.jpg,"[10751, 12, 16, 35, 14]",301528,en,Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",53.969,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,2019-06-19,Toy Story 4,False,7.492,9677
False,/xwgBHC2FgoIrQitl8jZwXXdsR9u.jpg,"[35, 18, 53]",466272,en,Once Upon a Time... in Hollywood,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",52.583,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,2019-07-24,Once Upon a Time... in Hollywood,False,7.439,13276
False,/nJyAdKPnW15IAvC6sLBTE0lp6Dv.jpg,"[35, 16, 12, 10751, 14]",400157,en,Wonder Park,"A young girl named June with a big imagination makes an incredible discovery -- the amusement park of her dreams has come to life. Filled with the world's wildest rides operated by fun-loving animals, the excitement never ends. But when trouble hits, June and her misfit team of furry friends begin an unforgettable journey to save the park.",46.633,/8KomINZhIuJeB4oB7k7tkq8tmE.jpg,2019-03-13,Wonder Park,False,6.5,687
False,/oLma4sWjqlXVr0E3jpaXQCytuG9.jpg,"[12, 35, 14]",512200,en,Jumanji: The Next Level,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",45.44,/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,2019-12-04,Jumanji: The Next Level,False,6.907,8531
False,/UxGdlGzCx5R5FdY8BDM0FQkyKi.jpg,"[12, 16, 35, 10751]",412117,en,The Secret Life of Pets 2,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",44.598,/s9xg4V5EDKiphgIksVJ9gewBM11.jpg,2019-05-24,The Secret Life of Pets 2,False,6.964,2998
False,/uCAy0n0WHTGU4d3LMJtE0fQxCej.jpg,"[10751, 16, 35, 14]",481084,en,The Addams Family,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",43.699,/q1epO0eO8DWu8Vo8tPfvVlzW48T.jpg,2019-10-10,The Addams Family,False,6.607,2282
False,/3YDxwacSY2RT1JS62yeIZ7Jc9xi.jpg,"[14, 35, 18]",536869,en,Cats,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,41.175,/aCNch5FmzT2WaUcY44925owIZXY.jpg,2019-12-19,Cats,False,4.1,953
False,/sg5h0LzhJtkjOnXwT87OBVjB7qJ.jpg,"[35, 27]",535581,en,The Dead Don't Die,"In a small peaceful town, zombies suddenly rise to terrorize the town. Now three bespectacled police officers and a strange Scottish morgue expert must band together to defeat the undead.",41.107,/fgGzTEoNxptCRtEOpOPvIEdlxAq.jpg,2019-05-15,The Dead Don't Die,False,5.433,2474
False,/tHUzzVwshwidhQxZXj0WzAdKdto.jpg,"[10749, 35]",543540,en,The Perfect Date,"No beau? No problem! To earn money for college, a high schooler creates a dating app that lets him act as a stand-in boyfriend.",40.191,/rrAYdezO3h1mjdYTaQyTXoj8IZ4.jpg,2019-04-12,The Perfect Date,False,6.457,3228
False,/1TPzecXAb5uCqmscA6WaQqKMmvV.jpg,[35],554596,es,No Manches Frida 2,"When seemingly reformed ex-con Zequi is about to marry the love of his life, the lovably nerdy Lucy, wedding day jitters turn into a full-blown fiasco and Lucy calls it off. Meanwhile, the school finds itself in deep trouble and the gang heads to the water to compete in the tournament of their lives. Once they're all seaside, Lucy runs into her high school sweetheart Mario, coach of the opposing squad and Zequi finds himself a rival in more than one competition. Now he has to pull out all the stops to wrangle in his rowdy kids, win Lucy back, and in case that wasn't enough, save the school from shutting down by leading Frida High to victory.",40.076,/rG7rDoTe1ZEa936eonDCkV76nkx.jpg,2019-03-15,No Manches Frida 2,False,7.965,863
False,/re3ZvlKJg04iLpLRf1xTKHS2wLU.jpg,"[10770, 16, 12, 35, 14, 10402]",537061,en,Steven Universe: The Movie,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",39.959,/8mRgpubxHqnqvENK4Bei30xMDvy.jpg,2019-10-07,Steven Universe: The Movie,False,8.2,772
False,/wsjcWHezujlzhBpED3KXq3JkxmB.jpg,"[878, 12, 28, 35]",531306,en,Rim of the World,"Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",38.014,/yhzTeZU5OULn3ePGF58Rc5oIocZ.jpg,2019-05-24,Rim of the World,False,5.958,939
False,/o7JVhqMmrex1TPbmuxl8YXVlcfl.jpg,"[28, 35, 14]",287947,en,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,34.133,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,2019-03-29,Shazam!,False,7.01,9406
